job_id,company,position,location,url,description,tags
1129719,Ubiminds,Full Stack Engineer,Remote,https://remoteOK.com/remote-jobs/remote-full-stack-engineer-ubiminds-1129719,"About Ubiminds Ubiminds is a GPTW-certified, people-first company that partners with American software product companies to scale their development footprint. Ubi custom-curates Brazil's top 5% talent to support LATAM strategies through a unique combination of staff augmentation and employer-of-record services. We are assisting a U.S.-based company in expanding its engineering team with a highly skilled Full-Stack Engineer passionate about building scalable, performant, and maintainable systems using clean architecture and cloud-native practices. What You'll Do - Break down large or complex problems into smaller parts, design clean solutions, and implement the core framework. - Build and maintain RESTful APIs and backend services using C# , .NET Core , Entity Framework , and Web API . - Apply software architecture patterns like Domain-Driven Design (DDD) and CQRS to build modular and scalable systems. - Work directly with SQL Server 'designing databases, writing stored procedures, optimizing queries, and tuning performance. - Use Entity Framework (EF Core or EF6) for ORM and data access. - Write clean, testable, and maintainable code with proper documentation. - Take full ownership of testing your own code 'unit, integration, and performance testing'as part of a Shift Left / No QA team setup. - Collaborate with product managers and other teams to understand requirements and deliver customer-focused features. - Use AI development tools (required) 'including GitHub Copilot , Claude , or similar'to assist with code generation, refactoring, documentation, and development speed. Cloud & AWS Deploy and manage applications using AWS EC2, S3, Lambda , and related services. Implement event-driven architectures with SNS/SQS . Configure API Gateway , IAM , and monitoring via CloudWatch . Ensure scalability, security, and cloud best practices. What You Should Bring - 5+ years of experience in enterprise or SaaS software development. - Strong hands-on experience with: C# , .NET Core , Web API Entity Framework (EF Core or EF6) Angular or other frontend frameworks. SQL Server ' writing queries, stored procedures, indexing, and performance tuning - Solid understanding of object-oriented programming , design patterns , and enterprise architecture . - Experience with DDD , CQRS , and clean layering of business logic and data access. - Experience with AWS - Familiarity with multi-threading , asynchronous programming , and system performance tuning. - Experience with modern DevOps tooling, CI/CD pipelines, and Docker. - Strong debugging and troubleshooting skills. - Excellent communication skills (written and verbal) in English. - Experience working across multiple teams or squads. - Exposure to event-driven architecture or messaging patterns. - Knowledge of Microservices Architecture. - Required: Active daily use of AI development tools like GitHub Copilot , Claude , or similar in your workflow. Perks @Ubiminds Work with U.S.-based product teams . Remote-first culture + MacBook provided. English lessons, tech talks, referral bonus, and learning initiatives. Full back-office support: HR, career guidance, and admin services. ð Apply now and join an international team building cloud-native, scalable solutions with modern engineering practices. \n \n","['design', 'saas', 'system', 'frontend', 'support', 'software', 'code', 'devops', 'cloud', 'admin', 'engineer', 'engineering', 'backend', 'digital nomad', 'partners with American', 'American software product', 'Entity Framework', 'API Entity Framework', 'American software', 'Web API Entity', 'NET Core', 'companies to scale', 'core', 'core framework']"
1129718,Blueprint,Senior Program Coordinator Data Operations,,https://remoteOK.com/remote-jobs/remote-senior-program-coordinator-data-operations-blueprint-1129718,"Who is Blueprint? We are a technology solutions firm headquartered in Bellevue, Washington, with a strong presence across the United States. Unified by a shared passion for solving complicated problems, our people are our greatest asset. We use technology as a tool to bridge the gap between strategy and execution, powered by the knowledge, skills, and expertise of our teams, who all have unique perspectives and years of experience across multiple industries. We're bold, smart, agile, and fun. What does Blueprint do? Blueprint helps organizations unlock value from existing assets by leveraging cutting-edge technology to create additional revenue streams and new lines of business. We connect strategy, business solutions, products, and services to transform and grow companies. Why Blueprint? At Blueprint, we believe in the power of possibility and are passionate about bringing it to life. Whether you join our bustling product division, our multifaceted services team or you want to grow your career in human resources, your ability to make an impact is amplified when you join one of our teams. You'll focus on solving unique business problems while gaining hands-on experience with the world's best technology. We believe in unique perspectives and build teams of people with diverse skillsets and backgrounds. At Blueprint, you'll have the opportunity to work with multiple clients and teams, such as data science and product development, all while learning, growing, and developing new solutions. We guarantee you won't find a better place to work and thrive than at Blueprint. In This Role You will support the operations and data management efforts of a key planning and master data program, helping ensure accurate, timely, and well-governed data flows across the organization. This position blends program coordination, data validation, and governance support with hands-on execution in master data systems. You'll work closely with internal planning, engineering, category, and program teams, assist with data preparation for scenario planning cycles, and help maintain MI, trackers, and audit-ready documentation. This is a great fit for someone who is highly detail-oriented, excels at cross-team collaboration, and has experience managing complex datasets or supporting operational pro","['coordinator', 'support', 'strategy', 'management', 'senior', 'operations', 'operational', 'Blueprint', 'United States', 'data', 'teams', 'headquartered in Bellevue', 'technology', 'technology solutions firm', 'solutions', 'business', 'unique']"
1129717,Eleks,Middle Information Developer TSCM 43250,Poland,https://remoteOK.com/remote-jobs/remote-middle-information-developer-tscm-43250-eleks-1129717,"ELEKS Information Development Office is looking for a Middle Information Developer in Poland. ABOUT PROJECT Our client is a multinational British-American firm that operates in the professional services and management consulting sector, delivering various products aimed at risk mitigation. The project at hand is focused on a revamp of the digital tools that the client provides to their customers to help them develop their business portfolios and develop risk mitigation strategies. \n REQUIREMENTS Experience creating documentation following the Microsoft Style Guide Good experience working with documents: creating instructions from scratch, editing, formatting, restructuring Advanced in MS Word and MadCap Flare English - Advanced+ level Excellent communication and negotiation skills Good analytical skills Good understanding of DDLC Degree in Translations, Philology, or Applied Linguistics would be a plus RESPONSIBILITIES Understand the product requirements and identify the requirements for the publications to be developed with minor supervision of senior staff Identify client's writing style and write technical documentation that conforms to publication standards (Microsoft, Apple, Chicago) with minor supervision of senior staff Estimate documentation development efforts and agree task deadlines with Project Manager or Head of IDO Communicate the status of documentation tasks in progress to ensure timely delivery Interview subject matter experts to obtain ongoing details on the projects Create documentation templates for various document outputs Write and edit interface and procedural documentation including user guides, installation guides, quick-reference guides, release notes, system configuration guides, and help systems Create various types of video documentation under supervision of senior staff Implement and support single-sourcing, structured authoring, and minimalism Create documentation interactivity elements (index, hyperlinks, related topics, etc.) With minor supervision of senior staff, create context-sensitive help systems and cooperate with the development team to embed them into the product With minor supervision of senior staff, create efficient, to-the-point, and clear product microcopy on the project (UX Writing) Conduct peer reviews to aid in proofing documentation prior to distribution; ensure that documentation is consistent and meets style guide and branding requirements Follow all stages of documentation development and provide high-quality results Translate technical texts that require minor review and editing from senior staff Perform basic troubleshooting of document outputs and formatting using HTML, XML, and CSS Take active (or passive) part in competence development events of IDO Take part in coaching and mentoring of the junior staff WHAT YOU WILL GET WITH ELEKS Close cooperation with a customer Challenging tasks Competence development Team of professionals Dynamic environment with a low level of bureaucracy \n","['developer', 'system', 'consulting', 'technical', 'support', 'linguistics', 'manager', 'video', 'microsoft', 'management', 'senior', 'junior', 'branding', 'digital nomad', 'Middle Information Developer', 'Information Development Office', 'ELEKS Information Development', 'Middle Information', 'Information Developer', 'Developer in Poland', 'ELEKS Information', 'senior staff', 'Information Development', 'Development Office']"
1129716,A-LIGN,Senior IT Auditor PCI QSA,,https://remoteOK.com/remote-jobs/remote-senior-it-auditor-pci-qsa-a-lign-1129716,"About the RoleÂ 
The Senior QSA Consultant is responsible for leading project execution, client service activities, and completes PCI DSS assessments. As a Senior QSA Consultant, you will lead the client engagement and be the face of A-LIGN with our customers as well as mentor and train Associate QSAs. As a Senior Consultant, you will have the opportunity to gain a variety of project experience with high profile clients, across various industries.Â 

Reports to
Managing Consultant

Pay Classification
Full-TimeÂ 

Responsibilities
'¢ Lead and execute PCI DSS assessments in coordination with the project's managerÂ 
'¢ Create agendasÂ","['consultant', 'lead', 'senior', 'Senior QSA Consultant', 'PCI DSS assessments', 'completes PCI DSS', 'client service activities', 'leading project execution', 'Senior QSA', 'QSA Consultant', 'PCI DSS', 'train Associate QSAs', 'execute PCI DSS']"
1129715,Narmi,Technical Customer Support Associate,United States,https://remoteOK.com/remote-jobs/remote-technical-customer-support-associate-narmi-1129715,"About Us Narmi is how community financial institutions unlock the very latest capabilities in digital banking, account opening, and lending so they can move faster, tap new growth opportunities, and be where banking is going. Since our founding, Narmi has enabled the movement of billions of dollars and the opening of hundreds of thousands of accounts for banks and credit unions across the U.S. The results speak for themselves: our customers have grown deposits, revenue, and customer satisfaction, with one of the first institutions powered by Narmi recognized by Bankrate and NerdWallet for delivering the #1 digital banking experience in the country. About the role: We're looking for a customer-obsessed, detail-orientated Technical Customer Support Associate to help us deliver best-in-class support to our growing customer base. Customers are the lifeblood of Narmi, and our team is filled with colleagues looking to delight customers throughout the Narmi customer journey. Our team puts Service at the heart of everything we do. This is an external-facing role which will communicate directly with customers and collaborate regularly within our internal Delivery, CS, Engineering and Product teams. This role is ideal for someone who is collaborative, solutions oriented and familiar with supporting customers in financial services, fintech or other SaaS-based solutions. \n At Narmi, how we work is just as important as what we build. We call this The Narmi Standard: High Ceiling: You go beyond the obvious, take initiative, and hold yourself to high standards with care. Low Ego: You put the mission above ourselves, share credit freely, and lead with curiosity. Alignment to Mission: You believe that helping community financial institutions win against Mega Banks and FinTechs is a worthy endeavor, and will use that belief as a northstar to anchor your efforts to that goal. High Commitment: You follow through, roll up your sleeves, and keep the bar high for yourself and others. What you'll do: Provide front-line support for Narmi Customers Communicate with customers to efficiently resolve questions and issues Conduct troubleshooting to investigate or recreate technical inquiries Act as a subject matter expert for Narmi products, providing information and empowering customers with available self-service tools Understand financial institution staff and end user needs to offer best-in-class guidance and support to maximize user experience, platform adoption and value Impact an evolving support team and digital platform Identify and advocate for opportunities to improve the customer support and product experience Escalate customer feedback when needed to build upon internal awareness of financial institution staff and end user experiences What you'll bring: 2-3+ years in a technical customer support role Ability to effectively prioritize and execute tasks in a fast-paced, high-pressure environment Demonstrated thoroughness and accuracy when tackling tasks Experience navigating ambiguity and problem-solving Excellent communication skills and comfort in customer-facing conversations B.A. or B.S. degree Preferred Prior SaaS-based technology, financial services, and/or digital banking experience Familiarity with SaaS based infrastructure and interpreting payload logs, error handling, etc. to diagnose issues PST or MT timezone to cover West Coast customers What you can expect: Work cross-functionally within a collaborative team across Delivery, Customer Success, Engineering and Product Contribute directly to the success of financial institutions leveraging Narmi to provide digital experiences to their end users Join a growing fintech that values team member growth, collaboration, ownership, and thoughtful execution \n The expected annual base salary for this role in NYC/CA is $68,000 - 75,000. Base salary is only part of your total compensation. In addition to base salary, you will receive an equity option grant, and are eligible for performance-based cash and equity bonuses. Compensation included in an offer will be commensurate with the candidate's skills, experience and geographic location. Compensation ranges for candidates located outside of New York City may differ. You will also receive a full benefits (medical, dental, vision) package. We believe that high-performing teams include people from different backgrounds and experiences who can challenge each other's assumptions with fresh perspectives. To that end, we actively seek a diverse pool of applicants, including those from historically marginalized groups. Please note that all correspondence related to this role will come directly from Narmi (email addresses ending in @narmi.com or @narmitech.com), and not from a third party. If you receive correspondence from an individual claiming to represent Narmi please let us know immediately at security@narmi.com.","['saas', 'technical', 'support', 'growth', 'financial', 'fintech', 'banking', 'lead', 'go', 'engineering', 'Narmi', 'Technical Customer Support', 'digital banking experience', 'Narmi Customers Communicate', 'Customer Support Associate', 'customers', 'Customer Support', 'customer', 'digital banking', 'Narmi customer journey']"
1129714,Alpaca,Sales Engineer LATAM,LATAM,https://remoteOK.com/remote-jobs/remote-sales-engineer-latam-alpaca-1129714,"Who We Are: Alpaca is a US-headquartered self-clearing broker-dealer and brokerage infrastructure for stocks, ETFs, options, crypto, fixed income, 24/5 trading, and more. Our recent Series C funding round brought our total investment to over $170 million, fueling our ambitious vision. Amongst our subsidiaries, Alpaca is a licensed financial services company, serving hundreds of financial institutions across 40 countries with our institutional-grade APIs. This includes broker-dealers, investment advisors, wealth managers, hedge funds, and crypto exchanges, totalling over 6 million brokerage accounts. Our global team is a diverse group of experienced engineers, traders, and brokerage professionals who are working to achieve our mission of opening financial services to everyone on the planet . We're deeply committed to open-source contributions and fostering a vibrant community, continuously enhancing our award-winning, developer-friendly API and the robust infrastructure behind it. Alpaca is proudly backed by top-tier global investors, including Portage Ventures, Spark Capital, Tribe Capital, Social Leverage, Horizons Ventures, Unbound, SBI Group, Derayah Financial, Elefund, and Y Combinator. Our Team Members: We're a dynamic team of 230+ globally distributed members who thrive working from our favorite places around the world, with teammates spanning the USA, Canada, Japan, Hungary, Nigeria, Brazil, the UK, and beyond! We're searching for passionate individuals eager to contribute to Alpaca's rapid growth. If you align with our core values'Stay Curious, Have Empathy, and Be Accountable'and are ready to make a significant impact, we encourage you to apply. Your Role: As a Sales Engineer at Alpaca, you will be the go-to expert for all products and services offered to our partners. Your role is to leverage your technical skills, excellent communication, and creative problem-solving abilities to support the sales process for Alpaca's growing suite of products and services. You will focus on expanding our base of enterprise partners within your assigned territory. Things you get to do: Serve as the product and technical subject matter expert, capable of thoroughly understanding and articulating all aspects of the Alpaca platform to diverse audiences and stakeholders Serve as a regional market-specific expert in regulations, compliance, and jurisdictional requirements Comfortable working with senior leaders and C-level executives Collaborate closely with the Sales and Customer Success teams, providing essential technical advisory and product expertise throughout the client lifecycle. Present compelling product and technical use cases to prospective clients, while building trust and confidence in Alpaca's technical capabilities. Translate complex business and technical requirements into clear, simple solutions Create sal","['crypto', 'technical', 'support', 'financial', 'investment', 'c', 'api', 'senior', 'sales', 'engineer', 'US-headquartered self-clearing broker-dealer', 'fixed income', 'Alpaca', 'US-headquartered self-clearing', 'self-clearing broker-dealer', 'financial services', 'technical', 'financial', 'financial services company', 'licensed financial services']"
1129713,Halcyon,Principal Product UX Designer,"Remote, US",https://remoteOK.com/remote-jobs/remote-principal-product-ux-designer-halcyon-1129713,"What we do: Halcyon is the industry's first dedicated, adaptive security platform that combines multiple proprietary advanced prevention engines along with AI models focused specifically on stopping ransomware. Who we are: Halcyon was formed in 2021 by a team of cyber industry veterans after battling the scourge of ransomware (and advanced threats) for years at some of the largest global security vendors. Comprised of leaders from Cylance (now Blackberry), Accuvant (now Optiv), Fireye and ISS X-Force (now IBM), Halcyon is focused on building products and solutions for mid-market and enterprise customers. As a remote-native, completely distributed global team, we recognize great talent can exist anywhere. We invite you to apply to a job you're interested in and we'll work a plan to meet your needs. The Role Halcyon's mission is to deliver an anti-ransomware platform that redefines what modern security products can achieve. As our Principal Product UX Designer , you will lead and evolve the end-to-end user experience of the Halcyon platform'from core console workflows and policy management to alert triage, data visualization, and third-party integrations. This is a highly influential role with broad product impact. As Halcyon's most senior UX practitioner, you will set the UX direction, advance design standards, and continuously raise the quality and usability of a growing, enterprise-grade platform. You'll partner closely with Product, Engineering, Threat Response, Quant, and Customer Success teams to translate complex security data into intuitive, actionable, and visually compelling experiences that hel","['ux', 'design', 'security', 'designer', 'management', 'lead', 'senior', 'digital nomad', 'combines multiple proprietary', 'multiple proprietary advanced', 'proprietary advanced prevention', 'advanced prevention engines', 'models focused specifically', 'combines multiple', 'multiple proprietary', 'prevention engines', 'specifically on stopping', 'adaptive security platform']"
1129712,Agiloft,Senior Executive Assistant the CEO,United States,https://remoteOK.com/remote-jobs/remote-senior-executive-assistant-the-ceo-agiloft-1129712,"As the most trusted global leader in data-first contract lifecycle management (CLM) software, Agiloft helps organizations manage the end-to-end process of proposing, negotiating, signing, and leveraging contracts using our flexible Data-first Agreement Platform (DAP). With contract data as the foundation, customers quickly and collaboratively reach agreement and leverage contract visibility to thrive with competitive advantage. Employing powerful, pragmatic artificial intelligence as a legal force multiplier, and robust integration capabilities as a data liberator, organizations around the world trust Agiloft's certified implementers to deliver connected, intelligent, and autonomous solutions across the entire contract lifecycle. Top analysts like Gartner, Forrester, and IDC agree, all showing Agiloft as a leader in the CLM space. Our no code platform is easily managed and administered by business users, which is why Agiloft is the contract you keep: nearly a full 100% of new customers are satisfied with their initial implementations, and some 97% of customers renew every year. Ours is a growing, vibrant, successful company that is at the forefront of a market that is becoming a must-have for all organizations. We believe that the way to build the strongest, most vibrant place to work is to bring in individuals from all walks of life, and to support them in bringing their authentic selves to their day, every day. Our working philosophy is that 'EX = CX': when employee experience is excellent, so is customer experience. We support multiple Employee Resource Groups (ERGs), and offer a working environment that supports healthy work/life balance, including floating holidays and a quarterly, no-questions-asked wellness day. Position Overview Agiloft is seeking a highly skilled, warm, and relationship-oriented Senior Executive Assistant to support our CEO and, secondarily, our Executive Leadership Team (ELT). This individual will serve as the operational backbone behind the CEO's work ' enabling him to focus on strategic priorities by owning and optimizing all administrative, scheduling, communication, and travel workflows. The ideal candidate combines exceptional judgment with empathy, polish, problem-solving ability, and speed. You should thrive in a fast-moving, fully remote environment and enjoy building strong working relationships. This is not a basic administrative role ' it is a high-trust, proactive partnership with significant influence over the CEO's time, focus, and operational rhythm. \n What You'll Do Executive Support for the CEO Own and manage a complex, integrated Outlook calendar including work and personal events Proactively shape the CEO's schedule to align with strategic priorities, including blocking focus time and managing weekly priorities Maintain and plan a yearly strategic calendar (customer visits, conferences, Board meetings, ELT offsites, major leadership & steerco cadences) Coordinate daily 10-minute standups and weekly planning sessions Monitor the CEO's email and Slack channels for priority items, flagging and triaging as needed Draft light communications and prepare supporting materials when appropriate Ensure rapid attention to board-related communications Act as an enabler ' increasing CEO accessibility while protecting his time based on strategic objectives Travel & Logistics Manage end-to-end travel for the CEO (research, booking, itineraries, reminders, check-ins, expense reports) Coordinate personal and family-related scheduling items that intersect with professional commitments Support travel booking and logistics for select ELT members ELT & Operational Support Provide scheduling support and meeting coordination for ELT cadence and quarterly in-person meetings Plan and attend in-person ELT meetings as needed for onsite coordination Assist in coordinating PowerPoint decks and materials for major updates, including Board meetings, QBRs, VCP SteerCos, and other executive reviews Serve as the organizer who ensures materials are timely, consistent, and high-quality Confidentiality & Judgment Handle sensitive communications and information involving People Ops, investors, board members, and legal matters Make decisions autonomously within established priorities, shifting from 'ask first' to 'inform afterward' as trust grows Maintain a calm, polished presence and an absolute commitment to professionalism Other duties as assigned What Success Looks Like (90 Days) 90% of the CEO's administrative work is fully off his plate His calendar operates smoothly and strategically without his intervention Travel is seamless and predictable ELT meetings and executive off-sites are fully coordinated Board/ELT materials are supported with reliable structure and consistency The CEO has notably increased time for strategic thinking and external priorities A strong, trusting working relationship is well established About You 7+ years as an Executive Assistant supporting a CEO or C-suite executive Highly organized, proactive, and emotionally intelligent Relationship-oriented, and polished in communication and presentation Excellent problem-solver with strong prioritization instincts Comfortable operating in a fully remote environment Tech-savvy: proficient in Outlook, Slack, PowerPoint, Zoom, Asana, and ChatGPT Very capable with PowerPoint and with an eye for professional slide design Able to handle sensitive information with discretion and maturity Thrives in a role that blends autonomy, operational rigor, and high-trust partnership Occasional in-person attendance for ELT meetings and executive off-sites \n Ensuring a diverse and inclusive workplace is our priority. We are committed to an environment of acceptance where you are free to bring your full self to work. All employment decisions at Agiloft are based on business needs, job requirements, and individual qualifications without regard to race, color, religion or belief, national or social ethnic origin, sex, age, sexual orientation, gender identity and/or expression, parental status, marital status, Veteran status, or any other status protected by the laws or regulations in the locations where we operate. If you have a need that requires accommodation during the recruiting process, please let us know by contacting Director, Talent Acquisition, Brad Toothman at brad.toothman@agiloft.com. Applicants from underrepresented groups such as minorities, veterans, or individuals with disabilities encouraged to apply. Applications will be reviewed as submitted.  There will be no application deadline for this opportunity.","['ceo', 'assistant', 'support', 'code', 'travel', 'leader', 'management', 'senior', 'operational', 'legal', 'recruiting', 'executive', 'flexible Data-first Agreement', 'Data-first Agreement Platform', 'data-first contract lifecycle', 'Data-first Agreement', 'contract lifecycle management', 'CEO', 'flexible Data-first', 'data-first contract', 'trusted global leader', 'ELT']"
1129711,RainFocus,2026 Associate Solution Consultant Malaysia,Kuala Lumpur,https://remoteOK.com/remote-jobs/remote-2026-associate-solution-consultant-malaysia-rainfocus-1129711,"RainFocus, one of the most innovative software companies, is in search of an exceptional Associate Solution Consultant. About RainFocus RainFocus cares about its employees, customers, and the world in which we live. Our rapidly growing team serves Fortune 500 companies like Adobe, Cisco, IBM, Oracle, VMware, and others to prepare and execute in-person, virtual, and hybrid events, across the world. Those events are delivered through our industry-disrupting software platform, with groundbreaking business intelligence, to elevate the attendee experience, streamline event operations, and accelerate marketing results. We are well-funded, growing fast, and building a company that is changing the market ' it will be challenging, fun and exciting. About the Role As a team member of the RainFocus Client Success organization, the Associate Solution Consultant is critical to driving post-sale client implementations at RainFocus. As a member of a team, the Associate Solution Consultant is responsible for working alongside Solution Consultants and Solution Architects to consult on platform configuration best practices, drive requirements, design and configure solutions and educate our clients on the implemented RainFocus toolset. We need collaborative, energetic team members who are capable of becoming experts in RainFocus products, industry best practices, and who work well within small, focused teams.  Solution Consultants are thought leaders within the Client Success organization and often assume additional responsibilities to mentor, train and build the consulting skill set with their peers. \n Primary Responsibilities Technical Become an expert in RainFocus platform Train client admins on the RainFocus tools and processes as necessary Configure the RainFocus platform Analysis / Business Acumen Work with clients to identify business requirements Facilitate holistic system configuration Identify and mitigate risks to achieve implementation success Domain / Industry Knowledge Follow best practices for implementing RainFocus products Consult with clients on new ideas and best practices Communication Document requirements, solution designs and testing plans Provide regular updates on milestones and tasks to project managers Engage in regular touch points with internal and client teams Communicate issues and risks to project managers and leadership Organization Balance priorities across multiple assignments Thoroughly track tasks and complete all assignments on time Contribute to implementation tools, processes and templates Required Qualifications Has software implementation experience (less than 3 years) Solutions delivery through platform configuration, not custom development. Ability to think strategically to ensure solution supports business goals Ability to work independently, problem-solve, improvise Perform consistently under pressure Great communication skills, both written and verbal Team players only Must be able to travel domestically or internationally up to 20% Preferred Qualifications Experience implementing SaaS platforms for Enterprise level clients, including gathering and documenting complex requirements, configurations, and integrations. Proven success in creating efficiencies through process design, including outlining and measuring adoption, both internal and client-facing. Proven track record in delivering innovative and creative solutions Experience with HTML, CSS, SQL, JSON Personal Characteristics The best candidates for this position will need to have strong chemistry and a culture fit within RainFocus. They will need to be comfortable working in a fast-paced, challenging, and dynamic environment. Additional personal qualities include: Ability to creatively solve complex problems Friendly and outgoing, but assertive when necessary Willing to go the extra mile in support of reasonable client requests Team-player with a service-oriented mindset Self-motivated, thrives in fast-paced environments Proactive, relentless learner Excited by and eager to take on new challenges and opportunities Strong communicator with ability to be self-guided Embraces change \n Why work at RainFocus? At RainFocus we delight millions of attendees at large-scale events by delivering better insights, experiences, and marketing. We were able to pivot our product and services offering in 2020 to continue growing and serving new clients and events. As a member of the RainFocus team, you will have the opportunity to experience first-hand the impact of our platform at events around the world. Additionally, RainFocus offers competitive salaries, competitive benefits, 401k, generous PTO, and countless other team building activities. What are you waiting for? Apply today! We need more talented, hard-working, fun-loving team members just like yourself!","['consultant', 'design', 'saas', 'system', 'consulting', 'consult', 'support', 'software', 'testing', 'travel', 'marketing', 'go', 'digital nomad', 'Associate Solution Consultant', 'exceptional Associate Solution', 'Solution Consultant', 'RainFocus', 'Associate Solution', 'Solution Consultants', 'Solution', 'Client Success organization', 'RainFocus Client Success', 'team']"
1129710,FreeWill,Digital Production Manager,,https://remoteOK.com/remote-jobs/remote-digital-production-manager-freewill-1129710,"FreeWill is an award-winning, social-good startup that has partnered with 2,400+ nonprofits who support our mission while generating $13B in gift commitments for nonprofits since we were founded in 2017. We've been featured in the New York Times, Forbes, Oprah's magazine, and our co-CEOs have even been named to Town & Country's ""Top 50 Philanthropists"" list.

All of this is because we've figured out how to make some powerful (but complicated!) ways to donate much easier and more accessible. Our products make things easier for the donors who want to change the world and for nonprofits doing heroic work around the planet.

In the last 8 years, we've grown from 5 people to 200+ (all smart, tenacious, and kind), and continue to grow. We'd love to have you be a part of this adventure. We were named a ""Most Loved Workplace"" by both Newsweek and Best Practice Institute and in 2025, we were named as one of Forbes' Best Startup Employers and the 2025 Most Loved WorkplacesÂ® for Diversity; you can also check us out on Glassdoor! Curious about company culture and management at FreeWill? Check out the","['manager', 'support', 'management', 'mission while generating', 'support our mission', 'gift commitments', 'York Times', 'social-good startup', 'Oprah magazine', 'commitments for nonprofits', 'nonprofits', 'Loved Workplace', 'award-winning']"
